Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc0762,Various,Kingdom Of the Sun: Peru's Inca Heritage,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-18,peru field-recordings,
mc0763,Nicolas Gombert,Missa Tempore paschali,"Henry's Eight, Jonathan Brown",FLAC,BitTorrent,2014-01-28,16th-century choral masses,
mc0764,Various,The Jasmine Isle: Gamelan Music,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-17,java gamelan,
mc0765,Various,The World Of Early Music,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-25,compilations medieval renaissance,
mc0766,Tom Waits,Mule Variations,"Tom Waits, et al",FLAC,BitTorrent,2016-04-15,rock 1990s,
mc0767,Willie Nelson,Phases and Stages,"Willie Nelson, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-18,country 1970s,
mc0768,Woody Guthrie,The Asch Recordings,Same,Ogg Vorbis -q 5,New York Public Library,2008-12-17,folk box-sets,
mc0769,Various,"World Library Of Folk & Primitive Music: India, Vol. 7",Various,Ogg Vorbis -q 5,New York Public Library,2008-12-22,folk india lomax-recordings,
mc0770,Various,World Library Of Folk & Primitive Music: Ireland,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-19,folk ireland lomax-recordings,
mc0771,Various,World Library Of Folk & Primitive Music: Scotland,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-20,folk scotland lomax-recordings,
mc0772,Banyumas Bamboo Gamelan,Traditional Music From Central Java,Banyumas Bamboo Gamelan,Ogg Vorbis -q 5,New York Public Library,2008-12-17,java gamelan,
mc0773,Various,Italian Treasury: Music Of Emilia-Romagna,Various,Ogg Vorbis -q 5,New York Public Library,2008-12-31,italy folk lomax-recordings,
mc0774,Bobby Hutcherson,Dialogue,"Bobby Hutcherson, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-30,jazz 1960s blue-note,
mc0775,Bobby Hutcherson,Components,"Bobby Hutcherson, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-30,jazz 1960s blue-note,
mc0776,Chet Baker,Chet Baker Sings,"Chet Baker, Russ Freeman, et al",FLAC,BitTorrent,2016-04-07,jazz vocal-jazz 1950s,
mc0777,Coleman Hawkins,The Hawk Flies High,"Coleman Hawkins, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-30,jazz 1950s,
mc0778,Lennie Tristano,Descent Into the Maelstrom,"Lennie Tristano, et al",MP3,BitTorrent,Unknown (2011--2013),,
mc0779,Nicolas Gombert,Motets; Credo a 8,Henry's Eight,FLAC,BitTorrent,2014-01-28,16th-century choral motets,
mc0780,Pierre de la Rue,Missa Ave Maria; Moteti ad vesperam,"Capilla Flamenca, Psallentes",FLAC,BitTorrent,2014-01-29,15th-century masses motets choral,
mc0781,Zdzisław Piernik,Avant-Garde Project 146 & 147,Zdzisław Piernik,Ogg Vorbis -q 5,BitTorrent,2009-12,agp contemporary solo tuba,
mc0782,Moondog,More Moondog/The Story Of Moondog,"Moondog, et al",Ogg Vorbis -q 5,New York Public Library,2008-12-30,20th-century,
mc0783,Various,Songs From the Steppes: Kazakh Music Today,Various,Ogg Vorbis -q 5,New York Public Library,2009-01-01,folk kazakhstan,
mc0784,The Renaissance Players,"The Sephardic Experience, Vol. 3: Gazelle and Flea","The Renaissance Players, Winsome Evans",Ogg Vorbis -q 5,New York Public Library,2008-12-30,jewish folk,
mc0785,Toru Takemitsu,Chamber Works,"Toronto New Music Ensemble, Robert Aitken",Ogg Vorbis -q 5,New York Public Library,2008-12-30,20th-century contemporary chamber,
mc0786,Curtis Mayfield,Curtis,"Curtis Mayfield, et al",Ogg Vorbis -q 5,BitTorrent,2016-09-19,rock soul rnb 1970s,
mc0787,Arcangelo Corelli,"Sonatas, op. 5 (nos. 7--12)","Frans Brüggen, Anner Bylsma, Gustav Leonhardt",Ogg Vorbis -q 5,Bakalar Library,2008-12-12,17th-century chamber sonatas,
mc0788,Big Bill Broonzy,All The Classic Sides 1928--1937,"Big Bill Broonzy, et al",MP3 320k,BitTorrent,2012,blues 1920s 1930s jsp box-sets,Needs INFO file.
mc0789,Franz Liszt,Orchestral Works,"Gewandhaus-Orchester Leipzig, Michel Béroff, Kurt Masur",Ogg Vorbis -q 5,New York Public Library,2009-01-11,19th-century orchestral box-sets,
mc0790,Trio Mediaeval & Arve Henriksen,Rímur,"Trio Mediaeval, Arve Henriksen",FLAC,Monroe County Library,2018-08-21,medieval folk norway sweden iceland ecm,
mc0791,Orlando Gibbons,Choral and Organ Music,"Oxford Camerata, Laurenc Cummings, Jeremy Summerly",FLAC,BitTorrent,2014-01-28,17th-century choral organ,
mc0792,Anonymous,Mass Of Tournai; St. Luke Passion,Tonus Peregrinus,Ogg Vorbis -q 5,New York Public Library,2009-01-06,medieval masses passions chant,
mc0793,Jean Richafort,Requiem (In memoriam Josquin Desprez); Motets,"Huelgas-Ensemble, Paul Van Nevel",FLAC,Monroe County Library,2018-08-21,15th-century 16th-century masses motets choral,
mc0794,John Cage,Early Piano Music,Herbert Henck,Ogg Vorbis -q 5,New York Public Library,2009-01-05,20th-century solo piano ecm,
mc0795,Various,The Art of Courtly Love,"Early Music Consort of London, David Munrow",FLAC,Monroe County Library,2012-10-31,,
mc0796,Willie Nelson,Stardust,"Willie Nelson, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-06,country jazz pop 1970s,
mc0797,Johannes Brahms,"Ein Deutsches Requiem, op. 45","Chicago Symphony Orchestra & Chorus, James Levine, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-03,19th-century choral orchestral,
mc0798,Arnold Schoenberg,Lieder,"Glenn Gould, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-05,20th-century songs chamber,
mc0799,John Cage,Cheap Imitation,John Cage,Ogg Vorbis -q 5,New York Public Library,2009-01-05,20th-century solo piano,
mc0800,Orlande de Lassus,Il Canzoniere di M. Francesco Petrarcha,"Huelgas Ensemble, Paul van Nevel",Ogg Vorbis -q 5,BitTorrent,2012-03-30,16th-century madrigals chamber,
mc0801,Pierre de La Rue,Missa De Feria; Missa Sancta Dei Genitrix,"Gothic Voices, Christopher Page",FLAC,BitTorrent,2014-01-28,15th-century masses,
mc0802,Johann Sebastian Bach,Works For Lute,Andreas Martin,Ogg Vorbis -q 5,New York Public Library,2009-01-03,18th-century lute solo,
mc0803,Miles Davis,The Complete In a Silent Way Sessions,"Miles Davis, et al",Ogg Vorbis -q 5,BitTorrent,2012-03-30,1960s jazz fusion ambient,
mc0804,Guillaume de Machaut,Messe de Nostre Dame,"Ensemble Organum, Marcel Pérès",Ogg Vorbis -q 5,BitTorrent,2012-04-03,15th-century masses choral,
mc0805,John Mclaughlin & Billy Cobham,Live at the Montreux Jazz Festival 2010,John Mclaughlin & Billy Cobham,Ogg Vorbis -q 5,BitTorrent,2012-04-03,jazz fusion live,
mc0806,Albert Ayler & Don Cherry,Vibrations,"Albert Ayler, Don Cherry, et al",MP3 320k,BitTorrent,2012,jazz 1960s,
mc0807,Chet Baker,Quartet Featuring Russ Freeman,"Chet Baker, Russ Freeman, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-04,jazz 1950s,
mc0808,Ludwig van Beethoven,"Piano Concerti; Fantasia, op. 80; Rondo","Norrköping Symphony Orchestra, Andrew Parrott, Ronald Brautigam, et al",FLAC,BitTorrent,2019-10-10,19th-century concertos orchestral,
mc0809,Ensemble Clément Janequin,Musique de la Renaissance Française,Ensemble Clément Janequin,Ogg Vorbis -q 6,BitTorrent,2012-04-04,songs 16th-century,
mc0810,Mississippi John Hurt,Complete 1928 Okeh Recordings,Mississippi John Hurt,FLAC,Personal collection,2015-09-02,blues 1920s,
mc0811,Joseph Haydn,Armida,"Concentus Musicus Wien, Nikolaus Harnoncourt, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-04,opera 18th-century,
mc0812,Ensemble Gilles Binchois,Le Banquet du Vœu 1454,"Ensemble Gilles Binchois, Dominique Vellard",Ogg Vorbis -q 5,New York Public Library,2009-01-08,15th-century motets songs chamber,
mc0813,Guillaume Dufay,Missa Ecce Ancilla Domini,"Ensemble Gilles Binchois, Dominique Vellard",Ogg Vorbis -q 5,New York Public Library,2009-01-08,,
mc0814,Robert Fayrfax,"Fayrfax, vol. 4: Missa O bone Ihesu","The Cardinall's Music, Andrew Carwood",FLAC,BitTorrent,2014-01-28,16th-century masses motets anthems,
mc0815,Van Morrison,Moondance,"Van Morrison, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-15,1960s rock jazz blues soul,
mc0816,Johann Sebastian Bach,Inventionen und Sinfonien,Gustav Leonhardt,FLAC,BitTorrent,2014-01-29,18th-century harpsichord solo,
mc0817,Curtis Mayfield,Roots,"Curtis Mayfield, et al",Ogg Vorbis -q 5,BitTorrent,2016-09-19,,
mc0818,Bruno Maderna,Satyricon; Ages,"N.O.S. Radio Orchestra, Orchestra Sinfonica e Coro di Milano, Bruno Maderna",Ogg Vorbis -q 5,New York Public Library,2009-01-08,20th-century choral,
mc0819,Francesco Maria Veracini,Veracini Sonatas,"John Holloway, Jaap ter Linden, Lars Ulrik Mortensen",Ogg Vorbis -q 5,New York Public Library,2009-01-05,chamber sonatas 18th-century,
mc0820,Claudio Monteverdi,Vespro della Beata Vergine,"La Chapelle Royal, Philippe Herreweghe, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-08,17th-century choral oratorios,
mc0821,Henry Cowell,New Music: Piano Works,Various,Ogg Vorbis -q 5,New York Public Library,2009-01-07,20th-century piano solo,
mc0822,Madrid Atrium Musicae,"Three Centuries of ""La Spagna""","Madrid Atrium Musicae, Gregorio Paniagua",Ogg Vorbis -q 5,BitTorrent,2012-04-06,renaissance baroque instrumental,some ripping noise
mc0823,Michael Praetorius,Polyhymnia Caduceatrix & Panegyrica,"Musica Fiata, La Capella Ducale, Roland Wilson",Ogg Vorbis -q 5,New York Public Library,2009-01-08,17th-century instrumental choral,
mc0824,Antonio de Cabezón,Instrumental Music,"Hespèrion XX, Jordi Savall",Ogg Vorbis -q 5,New York Public Library,2009-01-10,16th-century instrumental,
mc0825,Hespèrion XX,Music for the Spanish Kings,Hespèrion XX,Ogg Vorbis -q 5,New York Public Library,2009-01-09,medieval renaissance songs instrumental,
mc0826,Orlande de Lassus,The Lamentations of Jeremiah,"Pro Cantione Antiqua, Bruno Turner",Ogg Vorbis -q 5,BitTorrent,2012-04-09,16th-century choral,
mc0827,Albert King,Live Wire/Blues Power,"Albert King, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-13,blues 1960s live,
mc0828,Art Blakey & The Jazz Messengers,A Night in Tunisia,"Art Blakey, The Jazz Messengers",Ogg Vorbis -q 5,New York Public Library,2009-01-13,jazz 1960s blue-note,
mc0829,Billy Eckstine,Savoy Recordings,Billy Eckstine,Ogg Vorbis -q 5,New York Public Library,2009-01-14,jazz 1940s 1950s,
mc0830,Collegium Vocale,Avant Bach,"Collegium Vocale, Philippe Herreweghe",FLAC,Monroe County Library,2013-06-21,17th-century choral cantatas,"Includes works by Nicolaus Bruhns, Christoph Graupner, Johann Kuhnau, & Franz Tunder."
mc0831,Cannonball Adderley,Somethin' Else,"Cannonball Adderley, Miles Davis, et al",FLAC,Monroe County Library,2012-11-13,jazz 1950s,
mc0832,Art Tatum,The Complete Pablo Group Masterpieces,"Art Tatum, et al",FLAC,BitTorrent,2024-04-01,jazz piano box-sets,
mc0833,Claudio Monteverdi,Masses,"Ensemble Vocal Européen de la Chapelle Royale, Philippe Herreweghe",Ogg Vorbis -q 5,New York Public Library,2009-01-13,17th-century choral masses,
mc0834,Tony Williams,Life Time,"Tony Williams, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-09,jazz 1960s blue-note,
mc0835,Tony Williams,Spring,"Tony Williams, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-10,jazz 1960s blue-note,
mc0836,Jelly Roll Morton,"Library of Congress Recordings, Vol. 1",Jelly Roll Morton,Ogg Vorbis -q 5,New York Public Library,2009-01-14,jazz piano 1930s,
mc0837,Johnny Cash,Sun Recordings,"Johnny Cash, et al",Ogg Vorbis -q 5,New York Public Library,2009-01-14,country 1950s,
mc0838,Orlande de Lassus,Missa Surge Propera; Motets,"The Cardinall's Musick, Andrew Carwood",Ogg Vorbis -q 5,New York Public Library,2009-01-14,16th-century choral masses motets,
mc0839,Paul Motian,Time and Time Again,"Paul Motian, Bill Frisell, Joe Lovano",Ogg Vorbis -q 5,New York Public Library,2009-01-13,jazz 2000s ecm,
mc0840,Jordi Savall,El Cancionero de Montecassino,"Jordi Savall, et al",FLAC,BitTorrent,2014-01-30,renaissance songs motets,
mc0841,Tony Williams Lifetime,Believe It,Tony Williams Lifetime,Ogg Vorbis -q 5,BitTorrent,2012-04-10,jazz fusion 1960s,
mc0842,Matthew Locke,Consort of Fower Parts,Hespèrion XX,FLAC,BitTorrent,2014-01-31,consort-music chamber 17th-century,
mc0843,John Dowland,Ayres,The Hilliard Ensemble,FLAC,BitTorrent,2014-01-31,songs 17th-century,
mc0844,John Dowland,In Darkness Let Me Dwell,"John Potter, John Surman, et al",FLAC,BitTorrent,2014-01-31,songs 17th-century arrangements ecm,
mc0845,Musica Ficta,Cantus Firmus: Medieval Monody,"Musica Ficta, Raúl Mallavibarrena",Ogg Vorbis -q 5,New York Public Library,2009-01-14,medieval hymns chant masses,
mc0846,Edgard Varèse,Complete Works,"Orchestre National de France, Kent Nagano, et al",Ogg Vorbis -q 5,Bakalar Library,2009-01-30,20th-century orchestral electroacoustic,Contains only the works published during Varèse's lifetime.
mc0847,Steve Reich,Tehillim,Steve Reich & Musicians,Ogg Vorbis -q 5,Bakalar Library,2009-01-23,20th-century vocal,
mc0848,Charles Ives,"Piano Sonata no. 2 ""Concord, Mass. 1840--1860""","Herbert Henck, et al",Ogg Vorbis -q 5,Bakalar Library,2009-01-30,sonatas piano 20th-century,
mc0849,Ensemble Anonymous,Le Chant de Robin et Marion: Songs and Motets from the Time of Adam de la Halle,Ensemble Anonymous,Ogg Vorbis -q 5,New York Public Library,2009-01-15,13th-century songs motets,
mc0850,Tom Waits,Alice,"Tom Waits, et al",FLAC,BitTorrent,2016-04-15,2000s,
mc0851,Claudio Monteverdi,L'Orfeo,"Concentus Musicus Wien, Nikolaus Harnoncourt, et al",Ogg Vorbis -q 5,Bakalar Library,2009-02-05,opera 17th-century,
mc0854,Philippe de Monte,Sacred & Secular Works,"The Hilliard Ensemble, Kees Boeke Ensemble",FLAC,BitTorrent,2014-01-31,16th-century motets masses instrumental,
mc0855,The Hilliard Ensemble,"Hilliard Live, Vols. 1--4",The Hilliard Ensemble,FLAC,BitTorrent,2014-01-31,medieval renaissance motets choral live,"Includes works by Anonymous, Pérotin, Léonin, Johannes Ockeghem, Antoine Brumel, Guillaume Dufay, and others."
mc0856,Heinrich Schütz,Cantiones Sacrae 1625,"Vocal Ensemble Currende, Erik van Nevel",Ogg Vorbis -q 5,Bakalar Library,2009-02-06,17th-century choral vocal,
mc0857,Heinrich Schütz,"Schwanengesang, op. 13","Berliner Solisten, Capella Sagittariana Dresden, Dietrich Knothe",Ogg Vorbis -q 5,Bakalar Library,2009-02-06,17th-century choral vocal,
mc0858,Heinrich Schütz,Vocal Works,"Windsbacher Knabenchor, Karl-Friedrich Beringer, et al",Ogg Vorbis -q 5,Bakalar Library,2009-02-06,17th-century vocal choral,
mc0859,Alexander Agricola,Fortuna Desperata (Secular Music),"Ensemble Unicorn, Michael Posch",FLAC,BitTorrent,2014-01-29,15th-century songs motets,
mc0860,Various,Mississippi Blues: Rare Cuts 1926--1941,Various,FLAC,BitTorrent,2018-08-31,blues 1920s 1930s 1940s jsp box-sets,
mc0861,Alfonso X,Cantigas de Santa Maria,Ensemble Unicorn,FLAC,BitTorrent,2014-01-29,13th-century songs,
mc0862,Anonymous,Carmina Burana,Ensemble Unicorn,FLAC,BitTorrent,2014-01-29,medieval songs,
mc0863,Johann Sebastian Bach,"Sonatas for violin & harpsichord, BWV 1014--1019","Andrew Manze, Richard Egarr, Jaap ter Linden",FLAC,Monroe County Library,2018-09-01,chamber 18th-century sonatas,Some distortion present on the original source discs.
mc0864,Various,Unheard: Music from the Interwar Period,"Ebony Quartet, et al",FLAC,Monroe County Library,2018-09-01,20th-century chamber,"Includes works by Erich Itor Kahn, Hans Walter Süsskind, Josef Matthias Hauer, Otto Jokl, & Louis Guenberg."
mc0865,Arnold Schoenberg,Moses und Aron,"Pierre Boulez, et al",Ogg Vorbis -q 5,BitTorrent,2009-02,opera 20th-century,
mc0866,Ensemble Unicorn,Chominciamento de Gioia,Same,FLAC,BitTorrent,2014-01-30,medieval instrumental,
mc0867,Ensemble Unicorn,Codex Faenza,Ensemble Unicorn,FLAC,BitTorrent,2014-01-30,14th-century songs motets,"Includes works by Francesco Landini, Guillaume de Machaut, Jacopo da Bologna, and Anonymous."
mc0868,Ensemble Unicorn,Minnesang in Südtirol,Ensemble Unicorn,FLAC,BitTorrent,2014-01-31,medieval songs,
mc0869,Ensemble Unicorn,Music of the Troubadours,Ensemble Unicorn,FLAC,BitTorrent,2014-01-31,medieval songs,
mc0870,Girolamo Frescobaldi,Harpsichord Works,Sergio Vartolo,Ogg Vorbis -q 5,Bakalar Library,2009-02-13,17th-century harpsichord solo toccatas,
mc0871,Curtis Mayfield,Superfly,"Curtis Mayfield, et al",Ogg Vorbis -q 5,BitTorrent,2016-09-19,1970s rock soul funk,
mc0872,Jan Pieterszoon Sweelinck,Harpsichord Works,Noëlle Spieth,Ogg Vorbis -q 5,Bakalar Library,2009-02-13,16th-century 17th-century harpischord solo,
mc0873,Samuel Scheidt,Ludi Musici,"Hespèrion XX, Jordi Savall",Ogg Vorbis -q 5,Bakalar Library,2009-02-13,17th-century instrumental,
mc0874,Leonard Bernstein,Violin Sonata; Piano Trio; New transcriptions,"Opus Two, et al",FLAC,Monroe County Library,2022-11-02,chamber 20th-century naxos,
mc0875,"Iannis Xenakis, Olivier Messiaen",Piano Works,Yuji Takahashi,Ogg Vorbis -q 5,Bakalar Library,2009-02-20,piano solo 20th-century,
mc0876,Heitor Villa-Lobos,Par Lui-Même,"Heitor Villa-Lobos, et al",Ogg Vorbis -q 5,BitTorrent,2012-04-15,20th-century box-sets,
mc0877,Johann Sebastian Bach,The Well-Tempered Clavier (Books 1 & 2),Glenn Gould,FLAC,BitTorrent,2012-06-08,18th-century piano solo preludes fugues,
mc0878,Johann Sebastian Bach; J. G. Pisendel,Sonatas & Partitas For Solo Violin; Sonata A Violino Solo,Amandine Beyer,FLAC,BitTorrent,2019-11-01,,
mc0879,Jethro Tull,Aqualung,Jethro Tull,FLAC,BitTorrent,2016-04-19,1970s rock,
mc0880,Johann Sebastian Bach,Complete Sonatas & Partitas for Violin Solo,Rachel Podger,FLAC,BitTorrent,2019-11-01,18th-century violin solo sonatas partitas,
mc0881,Ensemble Unicorn,On the Way to Bethlehem: Music of the Medieval Pilgrim,"Ensemble Unicorn, Ensemble Oni Wytars, Michael Posch, Marco Ambrosini",FLAC,BitTorrent,2014-01-31,medieval songs instrumental hymns,
mc0883,Johann Sebastian Bach,"Harpsichord Concerti, BWV 1054 & 1052; Triple Concerto, BWV 1044; etc.","Le Concert Français, Pierre Hantaï, et al",FLAC,BitTorrent,2020-01-29,18th-century concertos harpsichord,
mc0884,Johann Sebastian Bach,"Flute Sonatas, BWV 1033--1035 & 1030b; Suite, BWV 997","Hugo Reyne, Pierre Hantaï, Emmanuelle Guigues",FLAC,BitTorrent,2020-01-29,18th-century sonatas suites flute chamber,
mc0885,George Frideric Handel,Concerti a due cori,"Freiburger Barockorchester, Gottfried van der Goltz, Petra Müllejans",FLAC,Monroe County Library,2018-09-01,18th-century concertos,
mc0886,Ensemble Unicorn,The Black Madonna: Pilgrim Songs from the Monastery of Montserrat 1400--1420,Ensemble Unicorn,FLAC,BitTorrent,2014-01-31,15th-century songs chants,
mc0887,Heinrich Schütz,Geistliche Chormusik,"Westfälische Kantorei, Wilhelm Ehmann",FLAC,BitTorrent,2016-09-19,17th-century choral,
mc0888,Ensemble Gilles Binchois,"École de Notre Dame de Paris, vol. 2: Permanence et Rayonnement","Ensemble Gilles Binchois, Dominique Vellard",Ogg Vorbis -q 3,BitTorrent,2014-02-01,12th-century motets chants,"Includes works by Léonin, Pérotin, and Anonymous."
mc0889,Jean-Baptiste Lully,Atys,"Les Arts Florissants, William Christie",Ogg Vorbis -q 5,Bakalar Library,2009-02-27,17th-century operas,
mc0890,"Jean-Baptiste Lully, Henry Du Mont",Grands Motets,"La Chapelle Royale, Philippe Herreweghe",Ogg Vorbis -q 5,Bakalar Library,2009-02-27,17th-century motets choral,
mc0891,Marin Marais,Pièces de Violes,"Sarah Cunningham, Mitzi Meyerson, Ariane Maurette",Ogg Vorbis -q 5,Bakalar Library,2009-02-27,chamber 17th-century viola-da-gamba,
mc0892,Glenn Gould,"Music of Byrd, Gibbons & Sweelinck",Glenn Gould,Ogg Vorbis -q 5,Bakalar Library,2009-03-05,16th-century 17th-century solo piano,
mc0893,Orlando Gibbons,Second Service & Anthems,"New College Choir, Edward Higginbottom, et al",Ogg Vorbis -q 5,Bakalar Library,2009-03-05,choral 17th-century,
mc0894,Orlando Gibbons,Cries and Fancies,"Fretwork, Red Byrd, Paul Nicholson",Ogg Vorbis -q 5,Bakalar Library,2009-03-05,17th-century instrumental,
mc0895,Orlando Gibbons,Selections,"Ensemble William Byrd, The Occasional Byrd, Graham O'Reilly",Ogg Vorbis -q 5,Bakalar Library,2009-03-05,17th-century anthems consort-music,
